TEAM_ID,TEAM_NAME,BRACKET_SEED,CHANCE_WIN_TITLE,CHANCE_MAKE_FINAL,CHANCE_MAKE_FINAL_FOUR,CHANCE_MAKE_ELITE_EIGHT,CHANCE_MAKE_SWEET_16,CHANCE_MAKE_R32
7722,UConn,1,0.3699,0.5098,0.7051,0.8538,0.927,0.9841
6964,Notre Dame,1,0.1622,0.2757,0.593,0.788,0.9276,0.9807
5326,Baylor,2,0.1566,0.3339,0.5121,0.7749,0.9417,0.9921
6706,Mississippi State,1,0.1123,0.2756,0.5402,0.7499,0.9263,0.9906
6454,Louisville,1,0.083,0.2041,0.3447,0.6826,0.8368,0.9329
7351,South Carolina,2,0.0363,0.0844,0.183,0.6094,0.8379,0.9589
7044,Oregon,2,0.0248,0.0647,0.2135,0.5453,0.796,0.9839
7618,Texas,2,0.0206,0.072,0.1899,0.4321,0.6962,0.8702
7719,UCLA,3,0.0097,0.0452,0.136,0.3657,0.6594,0.8759
7013,Ohio State,3,0.005,0.018,0.0741,0.2535,0.5791,0.8335
5994,Florida State,3,0.0036,0.014,0.0442,0.2223,0.5755,0.8229
5814,DePaul,5,0.0026,0.0106,0.0512,0.1135,0.4945,0.7505
7600,Tennessee,3,0.0019,0.0112,0.0345,0.1036,0.4874,0.8553
7047,Oregon State,6,0.0018,0.0112,0.0328,0.0925,0.4119,0.7186
7421,Stanford,4,0.0017,0.012,0.0369,0.1388,0.4513,0.6485
6543,Maryland,5,0.0014,0.0095,0.0378,0.0922,0.3628,0.6285
8014,Green Bay,7,0.0009,0.0031,0.0186,0.0724,0.1428,0.6752
6826,NC State,4,0.0008,0.007,0.0314,0.0759,0.3349,0.5989
6046,Georgia,4,0.0007,0.0029,0.0117,0.0348,0.3158,0.6593
5848,Duke,5,0.0006,0.0039,0.0164,0.0457,0.3411,0.5969
5565,Central Michigan,11,0.0005,0.0022,0.0148,0.0768,0.2531,0.6149
7375,South Florida,6,0.0005,0.0032,0.0146,0.0812,0.25,0.6563
6245,Iowa,6,0.0004,0.003,0.0184,0.0805,0.2202,0.6435
5233,Arizona State,7,0.0003,0.0019,0.0121,0.0579,0.1601,0.5875
6059,Gonzaga,13,0.0003,0.0011,0.0058,0.0341,0.1769,0.3515
6527,Marquette,8,0.0003,0.0027,0.0083,0.0401,0.0891,0.6148
7168,Quinnipiac,9,0.0003,0.0011,0.0048,0.0181,0.0383,0.5226
5462,Buffalo,11,0.0002,0.0004,0.0032,0.029,0.1259,0.3437
5913,Elon,13,0.0002,0.0019,0.0111,0.0319,0.165,0.4011
7621,Texas A&M,4,0.0002,0.0019,0.0173,0.0497,0.2955,0.6493
5790,Dayton,9,0.0001,0.0004,0.0023,0.0192,0.0533,0.3852
6599,Mercer,13,0.0001,0.0007,0.0039,0.0157,0.1539,0.3407
6625,Miami,8,0.0001,0.0004,0.003,0.0123,0.0306,0.4774
6703,Missouri,5,0.0001,0.003,0.0109,0.0524,0.2366,0.5542
5204,American,14,0,0,0.0006,0.0066,0.0384,0.1241
5239,Little Rock,14,0,0,0.0007,0.0067,0.0486,0.1771
5335,Belmont,12,0,0.0003,0.0042,0.0191,0.1892,0.4031
5404,Boise State,16,0,0,0.0004,0.0059,0.0208,0.0671
5489,California,7,0,0.0007,0.0043,0.0367,0.1095,0.5681
5735,Creighton,11,0,0.0002,0.003,0.0204,0.082,0.3565
5742,CSU Northridge,16,0,0,0,0.0005,0.0035,0.0193
5837,Drake,13,0,0.0006,0.0024,0.0118,0.1103,0.3507
6051,George Washington,14,0,0,0.0006,0.0074,0.0487,0.1665
6065,Grambling,15,0,0,0,0.0001,0.001,0.0079
6416,Liberty,14,0,0,0.0003,0.0014,0.0239,0.1447
6469,LSU,6,0,0.0005,0.0034,0.0255,0.1191,0.3851
6498,Maine,15,0,0.0002,0.0012,0.011,0.0507,0.1298
6634,Michigan,7,0,0.0005,0.0041,0.0167,0.0422,0.6453
6684,Minnesota,10,0,0.0001,0.0027,0.0191,0.0593,0.3248
6814,North Carolina A&T,15,0,0,0,0.0012,0.0081,0.0411
6841,Nebraska,10,0,0.0006,0.0043,0.0258,0.093,0.4125
6882,Nicholls,16,0,0,0,0.0001,0.0011,0.0094
6900,Northern Colorado,10,0,0,0.0006,0.0033,0.0151,0.3547
7025,Oklahoma,12,0,0.0001,0.0016,0.0094,0.0997,0.2495
7028,Oklahoma State,9,0,0.0001,0.0015,0.0075,0.0258,0.4133
7141,Princeton,12,0,0.0004,0.0069,0.0254,0.1373,0.3715
7302,Seattle,15,0,0,0,0,0.0019,0.0161
7360,South Dakota State,8,0,0.0006,0.005,0.0201,0.0496,0.6267
7455,St. Francis (PA),16,0,0,0.0001,0.0005,0.0041,0.0159
7578,Syracuse,8,0,0.0008,0.0056,0.0171,0.0468,0.5867
7805,Villanova,9,0,0.0001,0.0018,0.007,0.0193,0.3733
7808,Virginia,10,0,0,0.0008,0.0135,0.0445,0.4319
7904,Western Kentucky,11,0,0.0002,0.001,0.0075,0.0768,0.2814
66657,Florida Gulf Coast,12,0,0.0013,0.0053,0.0269,0.1352,0.4458
