YEAR,TOURNAMENT,WINNER,RUNNER-UP
2018,Australian Open,Caroline Wozniacki,Simona Halep
2017,U.S. Open,Sloane Stephens,Madison Keys
2017,Wimbledon,Garbine Muguruza,Venus Williams
2017,French Open,Jelena Ostapenko,Simona Halep
2017,Australian Open,Serena Williams,Venus Williams
2016,U.S. Open,Angelique Kerber,Karolina Pliskova
2016,Wimbledon,Serena Williams,Angelique Kerber
2016,French Open,Garbine Muguruza,Serena Williams
2016,Australian Open,Angelique Kerber,Serena Williams
2015,U.S. Open,Flavia Pennetta,Roberta Vinci
2015,Wimbledon,Serena Williams,Garbine Muguruza
2015,French Open,Serena Williams,Lucie Safarova
2015,Australian Open,Serena Williams,Maria Sharapova
2014,U.S. Open,Serena Williams,Caroline Wozniacki
2014,Wimbledon,Petra Kvitova,Eugenie Bouchard
2014,French Open,Maria Sharapova,Simona Halep
2014,Australian Open,Li Na,Dominika Cibulkova
2013,U.S. Open,Serena Williams,Victoria Azarenka
2013,Wimbledon,Marion Bartoli,Sabine Lisicki
2013,French Open,Serena Williams,Maria Sharapova
2013,Australian Open,Victoria Azarenka,Li Na
2012,U.S. Open,Serena Williams,Victoria Azarenka
2012,Wimbledon,Serena Williams,Agnieszka Radwanska
2012,French Open,Maria Sharapova,Sara Errani
2012,Australian Open,Victoria Azarenka,Maria Sharapova
2011,U.S. Open,Samantha Stosur,Serena Williams
2011,Wimbledon,Petra Kvitova,Maria Sharapova
2011,French Open,Li Na,Francesca Schiavone
2011,Australian Open,Kim Clijsters,Li Na
2010,U.S. Open,Kim Clijsters,Vera Zvonareva
2010,Wimbledon,Serena Williams,Vera Zvonareva
2010,French Open,Francesca Schiavone,Samantha Stosur
2010,Australian Open,Serena Williams,Justine Henin
2009,U.S. Open,Kim Clijsters,Caroline Wozniacki
2009,Wimbledon,Serena Williams,Venus Williams
2009,French Open,Svetlana Kuznetsova,Dinara Safina
2009,Australian Open,Serena Williams,Dinara Safina
2008,U.S. Open,Serena Williams,Jelena Jankovic
2008,Wimbledon,Venus Williams,Serena Williams
2008,French Open,Ana Ivanovic,Dinara Safina
2008,Australian Open,Maria Sharapova,Ana Ivanovic
2007,U.S. Open,Justine Henin,Svetlana Kuznetsova
2007,Wimbledon,Venus Williams,Marion Bartoli
2007,French Open,Justine Henin,Ana Ivanovic
2007,Australian Open,Serena Williams,Maria Sharapova
2006,U.S. Open,Maria Sharapova,Justine Henin-Hardenne
2006,Wimbledon,Amelie Mauresmo,Justine Henin-Hardenne
2006,French Open,Justine Henin-Hardenne,Svetlana Kuznetsova
2006,Australian Open,Amelie Mauresmo,Justine Henin-Hardenne
2005,U.S. Open,Kim Clijsters,Mary Pierce
